"episode_id_uint","id_uint","function_name","variant_name","function_type"
2122015592052985681150202379648398032,2122015592052985681150202260974141896,"generate_response","gpt_4o_mini","json"
2122015565106021229949973630055666710,2122015565106021229949973581407713660,"generate_response","gpt_4o","json"
2121891519780925442292379390143566294,2121891519780925442292379266190161743,"classify_intent","gpt_4o_mini","json"
2121891537039588500822061913187750211,2121891537039588500822061795924507647,"classify_intent","gpt_4o_mini","json"
2121891723459556000860378770890313430,2121891723459556000860378731979605461,"classify_intent","gpt_4o_mini","json"
2121891914862765924262646835824229811,2121891914862765924262646766930884869,"classify_intent","gpt_4o_mini","json"
2121891916575760942771460651279216185,2121891916575760942771460649168522044,"classify_intent","gpt_4o_mini","json"
2121891918013178484372599895830704031,2121891918013178484372599831155072023,"classify_intent","gpt_4o_mini","json"
2121891919471119981055932939530150913,2121891919471119981055932932157873186,"classify_intent","gpt_4o_mini","json"
2121891920802190105071900094364091723,2121891920802190105071900025252461751,"classify_intent","gpt_4o_mini","json"
2121891922337497565956696574361876304,2121891922337497565956696528960871567,"classify_intent","gpt_4o_mini","json"
2121891923600860795657325289630631332,2121891923600860795657325209137552110,"classify_intent","gpt_4o_mini","json"
2121891925024957056931605737055444368,2121891925024957056931605650782868739,"classify_intent","gpt_4o_mini","json"
2121891926181910910515017747041073417,2121891926181910910515017685113796034,"classify_intent","gpt_4o_mini","json"
2121891928387007560768331380347280973,2121891928387007560768331352923016694,"classify_intent","gpt_4o_mini","json"
2121891995847447741437287909488198750,2121891995847447741437287838034432816,"classify_intent","gpt_4o_mini","json"
2121891997358589352637552109568991099,2121891997358589352637552026053059654,"classify_intent","gpt_4o_mini","json"
2121891999701503583106461295443171736,2121891999701503583106461218978776098,"classify_intent","gpt_4o_mini","json"
2121892001872714545937866516034519428,2121892001872714545937866498026288022,"classify_intent","gpt_4o_mini","json"
2121892004005306027353492370284917347,2121892004005306027353492269113981687,"classify_intent","gpt_4o_mini","json"
2121892005471729522784738568972812526,2121892005471729522784738508806498363,"classify_intent","gpt_4o_mini","json"
2121892007108630727866141134407906846,2121892007108630727866141104329478904,"classify_intent","gpt_4o_mini","json"
2121892008589553051300888998966061492,2121892008589553051300888888886913030,"classify_intent","gpt_4o_mini","json"
2121892009698148025333506116294428133,2121892009698148025333506059539223355,"classify_intent","gpt_4o_mini","json"
2121892011191160250214982159736158239,2121892011191160250214982086809429723,"classify_intent","gpt_4o_mini","json"
2121893628438912116996615131442305418,2121893628438912116996615093705904855,"classify_intent","gpt_4o_mini","json"
2121893630461431180722212900361376324,2121893630461431180722212835973934669,"classify_intent","gpt_4o_mini","json"
2121893631787676480778864525705455984,2121893631787676480778864453913605372,"classify_intent","gpt_4o_mini","json"
2121893960218922753136609091780126897,2121893960218922753136609021437799449,"classify_intent","gpt_4o_mini","json"
2121894147835764301084927282149910143,2121894147835764301084927212008888649,"classify_intent","gpt_4o_mini","json"
2121894153138080479789376042937724350,2121894153138080479789375957807369932,"classify_intent","gpt_4o_mini","json"
2121894156113306598959802628718636079,2121894156113306598959802562507677892,"classify_intent","gpt_4o_mini","json"
2121894159279461734207778444392277187,2121894159279461734207778419986274191,"classify_intent","gpt_4o_mini","json"
2121894162654737208700208498388428150,2121894162654737208700208384887970817,"classify_intent","gpt_4o_mini","json"
2121894380368999467225582449415287909,2121894380368999467225582377249458064,"classify_intent","gpt_4o_mini","json"
2121894384045380367725651309749413480,2121894384045380367725651192344232588,"classify_intent","gpt_4o_mini","json"
2121894386597402682677044290275887786,2121894386597402682677044228769103009,"classify_intent","gpt_4o_mini","json"
2121894389692257542755372074906047724,2121894389692257542755372015184505637,"classify_intent","gpt_4o_mini","json"
2121894392388144725580092492402503042,2121894392388144725580092459614884857,"classify_intent","gpt_4o_mini","json"
2121896711057115767199070791746529034,2121896711057115767199070767789006774,"classify_intent","gpt_4o_mini","json"
2121898107281792212940437261672681251,2121898107281792212940437155198311773,"classify_intent","gpt_4o_mini","json"
2121898107281792212940437261672681251,2121898109159254304367291120954389405,"generate_response","gpt_4o_mini","chat"
2121898107281792212940437261672681251,2121898121121576471505353565576634805,"generate_response","gpt_4o_mini","chat"
2121898107281792212940437261672681251,2121898133063336013983087334523862589,"generate_response","gpt_4o_mini","chat"
2121898203103708030224522651968700512,2121898203103708030224522604257770573,"classify_intent","gpt_4o_mini","json"
2121898203103708030224522651968700512,2121898204796208288717239434591541683,"generate_response","gpt_4o_mini","chat"
2121898203103708030224522651968700512,2121898214907642632202538023532574986,"generate_response","gpt_4o_mini","chat"
2121898203103708030224522651968700512,2121898225418026236769269737414928419,"generate_response","gpt_4o_mini","chat"
2121898261499603265411118727816036785,2121898261499603265411118696692730551,"classify_intent","gpt_4o_mini","json"
2121898261499603265411118727816036785,2121898263843719305144847339765464072,"generate_response","gpt_4o_mini","chat"
2121898297091631687898854757392797478,2121898297091631687898854707592773631,"classify_intent","gpt_4o_mini","json"
2121898297091631687898854757392797478,2121898299528816418482351804840792656,"generate_response","gpt_4o_mini","chat"
2121898399886609222122203435096329868,2121898399886609222122203363533513231,"classify_intent","gpt_4o_mini","json"
2121898399886609222122203435096329868,2121898402031187198272519380714307687,"generate_response","gpt_4o_mini","chat"
2121898455834421703789337254699638324,2121898455834421703789337191399487715,"classify_intent","gpt_4o_mini","json"
2121898455834421703789337254699638324,2121898458283702719673211794276314532,"generate_response","gpt_4o_mini","chat"
2121898521289356938054541903356018177,2121898521289356938054541872170735928,"classify_intent","gpt_4o_mini","json"
2121898521289356938054541903356018177,2121898524729914716538099635411292991,"generate_response","gpt_4o_mini","chat"
2121898554659308000230600367968178030,2121898554659308000230600305611755202,"classify_intent","gpt_4o_mini","json"
2121898554659308000230600367968178030,2121898556556123255797143399652319105,"generate_response","gpt_4o_mini","chat"
2121898609648495493602329960058800548,2121898609648495493602329878645263130,"classify_intent","gpt_4o_mini","json"
2121898609648495493602329960058800548,2121898612240413558107448546197878511,"generate_response","gpt_4o_mini","chat"
2121898647735694271680680558443552671,2121898647735694271680680532766922663,"classify_intent","gpt_4o_mini","json"
2121898647735694271680680558443552671,2121898649630071841606412803394932864,"generate_response","gpt_4o_mini","chat"
2121899809867642827854535866828910819,2121899809867642827854535801799356489,"classify_intent","gpt_4o_mini","json"
2121899809867642827854535866828910819,2121899812325364261394868581326270162,"generate_response","gpt_4o_mini","chat"
2121899824137777858176366354165277425,2121899824137777858176366287845968008,"generate_response","gpt_4o_mini","chat"
2121899846569428848322490140110414447,2121899846569428848322490065151514934,"classify_intent","gpt_4o_mini","json"
2121899846569428848322490140110414447,2121899848935261558133407526251110038,"generate_response","gpt_4o_mini","chat"
2121901820673953300699220138060669898,2121901820673953300699220079474534485,"classify_intent","gpt_4o_mini","json"
2121901820673953300699220138060669898,2121901822397869695153294309848372204,"generate_response","gpt_4o_mini","chat"
2121901832099530697600502281496775622,2121901832099530697600502201222056434,"classify_intent","gpt_4o_mini","json"
2121901832099530697600502281496775622,2121901833403953968599586807050483256,"generate_response","gpt_4o_mini","chat"
2121901840726443370049227215367561901,2121901840726443370049227168391384842,"classify_intent","gpt_4o_mini","json"
2121901840726443370049227215367561901,2121901842133594932862537219838790715,"generate_response","gpt_4o_mini","chat"
2121901852824100591428339748139560227,2121901852824100591428339712492143997,"classify_intent","gpt_4o_mini","json"
2121901852824100591428339748139560227,2121901854525110281548131685741520979,"generate_response","gpt_4o_mini","chat"
2121901867327578280252901802556172808,2121901867327578280252901738909989460,"classify_intent","gpt_4o_mini","json"
2121901867327578280252901802556172808,2121901868603036988450314666982337127,"generate_response","gpt_4o_mini","chat"
2121901877140501229675724350181331683,2121901877140501229675724333638974724,"classify_intent","gpt_4o_mini","json"
2121901877140501229675724350181331683,2121901878475133439376094523271925062,"generate_response","gpt_4o_mini","chat"
2121901884221162306136135069778232099,2121901884221162306136135037131180465,"classify_intent","gpt_4o_mini","json"
2121901884221162306136135069778232099,2121901887344999503621760927673644186,"generate_response","gpt_4o_mini","chat"
2121901901317806003847043675598451030,2121901901317806003847043598264794435,"classify_intent","gpt_4o_mini","json"
2121901901317806003847043675598451030,2121901902774534479587166591902956306,"generate_response","gpt_4o_mini","chat"
2121901908518121826210641067884249888,2121901908518121826210641032028489853,"classify_intent","gpt_4o_mini","json"
2121901908518121826210641067884249888,2121901910052235114784009532755252022,"generate_response","gpt_4o_mini","chat"
2121901919334366728341340742447687693,2121901919334366728341340655668791556,"classify_intent","gpt_4o_mini","json"
2121901919334366728341340742447687693,2121901921093357595994603570275117376,"generate_response","gpt_4o_mini","chat"
2121901930739416850956649902440608683,2121901930739416850956649824473149426,"classify_intent","gpt_4o_mini","json"
2121901930739416850956649902440608683,2121901932173148251445050558554631598,"generate_response","gpt_4o_mini","chat"
2121901938592577133143008581518373832,2121901938592577133143008503047865167,"classify_intent","gpt_4o_mini","json"
2121901938592577133143008581518373832,2121901940019092187917336085743077608,"generate_response","gpt_4o_mini","chat"
2121901947015143877573482698051468069,2121901947015143877573482608614663312,"classify_intent","gpt_4o_mini","json"
2121901947015143877573482698051468069,2121901948349804753280032857094227039,"generate_response","gpt_4o_mini","chat"
2121901956397618877486665104551277587,2121901956397618877486665018986988288,"classify_intent","gpt_4o_mini","json"
2121901956397618877486665104551277587,2121901958068384780482567267435597233,"generate_response","gpt_4o_mini","chat"
2121901967542731706314565085970393070,2121901967542731706314565007733736411,"classify_intent","gpt_4o_mini","json"
2121901967542731706314565085970393070,2121901969211048767410119619463551251,"generate_response","gpt_4o_mini","chat"
2121901976118837284270481390850067483,2121901976118837284270481297532469449,"classify_intent","gpt_4o_mini","json"
2121901976118837284270481390850067483,2121901977215345398377393752606625025,"generate_response","gpt_4o_mini","chat"
2121901985432423639991122592942575461,2121901985432423639991122554098914121,"classify_intent","gpt_4o_mini","json"
2121901985432423639991122592942575461,2121901987338906758982182662586841768,"generate_response","gpt_4o_mini","chat"
2121901999870610573409914472118228492,2121901999870610573409914430702227829,"classify_intent","gpt_4o_mini","json"
2121901999870610573409914472118228492,2121902003721062310072096102515169717,"generate_response","gpt_4o_mini","chat"
2121902015847810492825516803629097624,2121902015847810492825516792971587912,"classify_intent","gpt_4o_mini","json"
2121902015847810492825516803629097624,2121902017944086959528173476120864659,"generate_response","gpt_4o_mini","chat"
2121902026401694232435429849904605566,2121902026401694232435429786176416002,"classify_intent","gpt_4o_mini","json"
2121902026401694232435429849904605566,2121902028574110909846919040784074280,"generate_response","gpt_4o_mini","chat"
2121902036856463784455470258629962800,2121902036856463784455470226713803165,"classify_intent","gpt_4o_mini","json"
2121902036856463784455470258629962800,2121902038503072103196010001688334862,"generate_response","gpt_4o_mini","chat"
2121902049769010476962485845513568114,2121902049769010476962485730701369915,"classify_intent","gpt_4o_mini","json"
2121902049769010476962485845513568114,2121902056218653965262651082794380456,"generate_response","gpt_4o_mini","chat"
2121902065743807320163333434898686067,2121902065743807320163333378711839781,"classify_intent","gpt_4o_mini","json"
2121902065743807320163333434898686067,2121902067723968208702757511879889266,"generate_response","gpt_4o_mini","chat"
2121902077542863402158179634949157953,2121902077542863402158179548970143803,"classify_intent","gpt_4o_mini","json"
2121902077542863402158179634949157953,2121902079035892416521284727854067529,"generate_response","gpt_4o_mini","chat"
2121902088963589442098141989835250643,2121902088963589442098141912104669104,"classify_intent","gpt_4o_mini","json"
2121902088963589442098141989835250643,2121902091711500276290084029578732630,"generate_response","gpt_4o_mini","chat"
2121902103120094848891206489642170996,2121902103120094848891206461092551756,"classify_intent","gpt_4o_mini","json"
2121902103120094848891206489642170996,2121902104352060837740215434549522114,"generate_response","gpt_4o_mini","chat"
2121902117004672821418973003891370352,2121902117004672821418972900482971315,"classify_intent","gpt_4o_mini","json"
2121902117004672821418973003891370352,2121902118293342310038089686471313609,"generate_response","gpt_4o_mini","chat"
2121902135521786997229936422304256278,2121902135521786997229936334020876286,"classify_intent","gpt_4o_mini","json"
2121902135521786997229936422304256278,2121902138378481036039232397248475808,"generate_response","gpt_4o_mini","chat"
2121902147707744448791906953541808142,2121902147707744448791906916291409897,"classify_intent","gpt_4o_mini","json"
2121902147707744448791906953541808142,2121902149551313251340371048590822466,"generate_response","gpt_4o_mini","chat"
2121902157699486592337647629376171657,2121902157699486592337647565126616926,"classify_intent","gpt_4o_mini","json"
2121902157699486592337647629376171657,2121902159109089339499442003205893739,"generate_response","gpt_4o_mini","chat"
2121902168213558664293330567138518562,2121902168213558664293330498571876978,"classify_intent","gpt_4o_mini","json"
2121902168213558664293330567138518562,2121902169806911438745216004654214658,"generate_response","gpt_4o_mini","chat"
2121902180603826731067837368959032558,2121902180603826731067837272307669176,"classify_intent","gpt_4o_mini","json"
2121902180603826731067837368959032558,2121902184397438296802100357959700603,"generate_response","gpt_4o_mini","chat"
2121902192625369717412120778768688847,2121902192625369717412120738727784352,"classify_intent","gpt_4o_mini","json"
2121902192625369717412120778768688847,2121902193953959397774896696103648864,"generate_response","gpt_4o_mini","chat"
2121902206520777863137243507941225805,2121902206520777863137243428108731892,"classify_intent","gpt_4o_mini","json"
2121902206520777863137243507941225805,2121902207816763776423786014784374535,"generate_response","gpt_4o_mini","chat"
2121902217376939065008033168342470859,2121902217376939065008033095184718609,"classify_intent","gpt_4o_mini","json"
2121902217376939065008033168342470859,2121902218963030591428028713509417626,"generate_response","gpt_4o_mini","chat"
2121902227368717810574681780750322356,2121902227368717810574681693407629730,"classify_intent","gpt_4o_mini","json"
2121902227368717810574681780750322356,2121902228956006402014858475515498845,"generate_response","gpt_4o_mini","chat"
2121902242065607414054148268180607840,2121902242065607414054148241544044813,"classify_intent","gpt_4o_mini","json"
2121902242065607414054148268180607840,2121902245148390116328436967028931696,"generate_response","gpt_4o_mini","chat"
2121902258196326467674672358193388025,2121902258196326467674672286705877485,"classify_intent","gpt_4o_mini","json"
2121902258196326467674672358193388025,2121902259903323859398661248331120291,"generate_response","gpt_4o_mini","chat"
2121902271030283539736525464546988265,2121902271030283539736525373949003130,"classify_intent","gpt_4o_mini","json"
2121902271030283539736525464546988265,2121902273437243629140373714587598177,"generate_response","gpt_4o_mini","chat"
2121902279461292083206070882512423811,2121902279461292083206070850117342789,"classify_intent","gpt_4o_mini","json"
2121902279461292083206070882512423811,2121902281229984796778244168864613750,"generate_response","gpt_4o_mini","chat"
2121902290098651361558561050335831036,2121902290098651361558561027354484677,"classify_intent","gpt_4o_mini","json"
2121902290098651361558561050335831036,2121902292755852589307806530068627441,"generate_response","gpt_4o_mini","chat"
2121902301799840203062268711937210440,2121902301799840203062268658626078066,"classify_intent","gpt_4o_mini","json"
2121902301799840203062268711937210440,2121902302956754209841706350102218275,"generate_response","gpt_4o_mini","chat"
2121902311202842520803081390640012757,2121902311202842520803081334029520033,"classify_intent","gpt_4o_mini","json"
2121902311202842520803081390640012757,2121902313505862107128679791270917451,"generate_response","gpt_4o_mini","chat"
2121902321381987259261948122123870231,2121902321381987259261948108638640494,"classify_intent","gpt_4o_mini","json"
2121902321381987259261948122123870231,2121902322992335185350045632917057712,"generate_response","gpt_4o_mini","chat"
2121902330782588526304994529329521599,2121902330782588526304994493919016167,"classify_intent","gpt_4o_mini","json"
2121902330782588526304994529329521599,2121902332058053692619096284667967724,"generate_response","gpt_4o_mini","chat"
2121902340902511894376716198543290960,2121902340902511894376716085293537978,"classify_intent","gpt_4o_mini","json"
2121902340902511894376716198543290960,2121902343238223025819526888746322874,"generate_response","gpt_4o_mini","chat"
2121902353511652467392928489014605349,2121902353511652467392928423646336612,"classify_intent","gpt_4o_mini","json"
2121902353511652467392928489014605349,2121902355611537115138065185063898490,"generate_response","gpt_4o_mini","chat"
2121902368504721540335723722483295246,2121902368504721540335723677919069348,"classify_intent","gpt_4o_mini","json"
2121902368504721540335723722483295246,2121902369659240385371698413906157494,"generate_response","gpt_4o_mini","chat"
2121902378462671589496000733290949299,2121902378462671589496000687916876955,"classify_intent","gpt_4o_mini","json"
2121902378462671589496000733290949299,2121902380178119287390214571553934889,"generate_response","gpt_4o_mini","chat"
2121902399965801773005100282895224139,2121902399965801773005100221840102532,"classify_intent","gpt_4o_mini","json"
2121902399965801773005100282895224139,2121902401823966820763145465660058476,"generate_response","gpt_4o_mini","chat"
